column,token,raw_count,merged_count,parquet_string_count,parquet_null_count,missing_column_rows,expected_merged_empty,lost_to_parquet,flag_token_loss
authorships.author_position,Na,0,0,0,24545,0,,0,False
authorships.countries,,256276,256276,0,256276,0,256276.0,256276,True
authorships.countries,NA,15,15,15,256276,0,,0,False
authorships.countries,N.A.,0,0,0,256276,0,,0,False
authorships.countries,N/A,0,0,0,256276,0,,0,False
authorships.countries,NULL,0,0,0,256276,0,,0,False
authorships.countries,NaN,0,0,0,256276,0,,0,False
authorships.countries,\N,0,0,0,256276,0,,0,False
authorships.countries,None,0,0,0,256276,0,,0,False
authorships.countries,null,0,0,0,256276,0,,0,False
authorships.countries,nan,0,0,0,256276,0,,0,False
authorships.countries,Na,0,0,0,256276,0,,0,False
authorships.institutions,,261113,261113,0,261113,0,261113.0,261113,True
authorships.institutions,NA,0,0,0,261113,0,,0,False
authorships.institutions,N.A.,0,0,0,261113,0,,0,False
authorships.institutions,N/A,0,0,0,261113,0,,0,False
authorships.institutions,NULL,0,0,0,261113,0,,0,False
authorships.institutions,NaN,0,0,0,261113,0,,0,False
authorships.institutions,\N,0,0,0,261113,0,,0,False
authorships.institutions,None,0,0,0,261113,0,,0,False
authorships.institutions,null,0,0,0,261113,0,,0,False
authorships.institutions,nan,0,0,0,261113,0,,0,False
authorships.institutions,Na,0,0,0,261113,0,,0,False
authorships.is_corresponding,,24544,24544,0,24544,0,24544.0,24544,True
authorships.is_corresponding,NA,0,0,0,24544,0,,0,False
authorships.is_corresponding,N.A.,0,0,0,24544,0,,0,False
authorships.is_corresponding,N/A,0,0,0,24544,0,,0,False
authorships.is_corresponding,NULL,0,0,0,24544,0,,0,False
authorships.is_corresponding,NaN,0,0,0,24544,0,,0,False
authorships.is_corresponding,\N,0,0,0,24544,0,,0,False
authorships.is_corresponding,None,0,0,0,24544,0,,0,False
authorships.is_corresponding,null,0,0,0,24544,0,,0,False
authorships.is_corresponding,nan,0,0,0,24544,0,,0,False
authorships.is_corresponding,Na,0,0,0,24544,0,,0,False
authorships.raw_affiliation_strings,,243337,243337,0,243337,0,243337.0,243337,True
authorships.raw_affiliation_strings,NA,0,0,0,243337,0,,0,False
authorships.raw_affiliation_strings,N.A.,0,0,0,243337,0,,0,False
authorships.raw_affiliation_strings,N/A,0,0,0,243337,0,,0,False
authorships.raw_affiliation_strings,NULL,0,0,0,243337,0,,0,False
authorships.raw_affiliation_strings,NaN,0,0,0,243337,0,,0,False
authorships.raw_affiliation_strings,\N,0,0,0,243337,0,,0,False
authorships.raw_affiliation_strings,None,0,0,0,243337,0,,0,False
authorships.raw_affiliation_strings,null,0,0,0,243337,0,,0,False
authorships.raw_affiliation_strings,nan,0,0,0,243337,0,,0,False
authorships.raw_affiliation_strings,Na,0,0,0,243337,0,,0,False
authorships.raw_author_name,,24544,24544,0,24544,0,24544.0,24544,True
authorships.raw_author_name,NA,1,1,1,24544,0,,0,False
authorships.raw_author_name,N.A.,0,0,0,24544,0,,0,False
authorships.raw_author_name,N/A,0,0,0,24544,0,,0,False
authorships.raw_author_name,NULL,0,0,0,24544,0,,0,False
authorships.raw_author_name,NaN,0,0,0,24544,0,,0,False
authorships.raw_author_name,\N,0,0,0,24544,0,,0,False
authorships.raw_author_name,None,0,0,0,24544,0,,0,False
authorships.raw_author_name,null,0,0,0,24544,0,,0,False
authorships.raw_author_name,nan,0,0,0,24544,0,,0,False
authorships.raw_author_name,Na,0,0,0,24544,0,,0,False
best_oa_location,,591062,591062,0,591062,0,591062.0,591062,True
best_oa_location,NA,0,0,0,591062,0,,0,False
best_oa_location,N.A.,0,0,0,591062,0,,0,False
best_oa_location,N/A,0,0,0,591062,0,,0,False
best_oa_location,NULL,0,0,0,591062,0,,0,False
best_oa_location,NaN,0,0,0,591062,0,,0,False
best_oa_location,\N,0,0,0,591062,0,,0,False
best_oa_location,None,0,0,0,591062,0,,0,False
best_oa_location,null,0,0,0,591062,0,,0,False
best_oa_location,nan,0,0,0,591062,0,,0,False
best_oa_location,Na,0,0,0,591062,0,,0,False
best_oa_location.is_accepted,,459302,459302,0,459302,0,459302.0,459302,True
best_oa_location.is_accepted,NA,0,0,0,459302,0,,0,False
best_oa_location.is_accepted,N.A.,0,0,0,459302,0,,0,False
best_oa_location.is_accepted,N/A,0,0,0,459302,0,,0,False
best_oa_location.is_accepted,NULL,0,0,0,459302,0,,0,False
best_oa_location.is_accepted,NaN,0,0,0,459302,0,,0,False
best_oa_location.is_accepted,\N,0,0,0,459302,0,,0,False
best_oa_location.is_accepted,None,0,0,0,459302,0,,0,False
best_oa_location.is_accepted,null,0,0,0,459302,0,,0,False
best_oa_location.is_accepted,nan,0,0,0,459302,0,,0,False
best_oa_location.is_accepted,Na,0,0,0,459302,0,,0,False
best_oa_location.is_oa,,459302,459302,0,459302,0,459302.0,459302,True
best_oa_location.is_oa,NA,0,0,0,459302,0,,0,False
best_oa_location.is_oa,N.A.,0,0,0,459302,0,,0,False
best_oa_location.is_oa,N/A,0,0,0,459302,0,,0,False
best_oa_location.is_oa,NULL,0,0,0,459302,0,,0,False
best_oa_location.is_oa,NaN,0,0,0,459302,0,,0,False
best_oa_location.is_oa,\N,0,0,0,459302,0,,0,False
best_oa_location.is_oa,None,0,0,0,459302,0,,0,False
best_oa_location.is_oa,null,0,0,0,459302,0,,0,False
best_oa_location.is_oa,nan,0,0,0,459302,0,,0,False
best_oa_location.is_oa,Na,0,0,0,459302,0,,0,False
best_oa_location.is_published,,459302,459302,0,459302,0,459302.0,459302,True
best_oa_location.is_published,NA,0,0,0,459302,0,,0,False
best_oa_location.is_published,N.A.,0,0,0,459302,0,,0,False
best_oa_location.is_published,N/A,0,0,0,459302,0,,0,False
best_oa_location.is_published,NULL,0,0,0,459302,0,,0,False
best_oa_location.is_published,NaN,0,0,0,459302,0,,0,False
best_oa_location.is_published,\N,0,0,0,459302,0,,0,False
best_oa_location.is_published,None,0,0,0,459302,0,,0,False
best_oa_location.is_published,null,0,0,0,459302,0,,0,False
best_oa_location.is_published,nan,0,0,0,459302,0,,0,False
best_oa_location.is_published,Na,0,0,0,459302,0,,0,False
best_oa_location.landing_page_url,,459327,459327,0,459327,0,459327.0,459327,True
best_oa_location.landing_page_url,NA,0,0,0,459327,0,,0,False
best_oa_location.landing_page_url,N.A.,0,0,0,459327,0,,0,False
best_oa_location.landing_page_url,N/A,0,0,0,459327,0,,0,False
best_oa_location.landing_page_url,NULL,0,0,0,459327,0,,0,False
best_oa_location.landing_page_url,NaN,0,0,0,459327,0,,0,False
best_oa_location.landing_page_url,\N,0,0,0,459327,0,,0,False
best_oa_location.landing_page_url,None,0,0,0,459327,0,,0,False
best_oa_location.landing_page_url,null,0,0,0,459327,0,,0,False
best_oa_location.landing_page_url,nan,0,0,0,459327,0,,0,False
best_oa_location.landing_page_url,Na,0,0,0,459327,0,,0,False
best_oa_location.license,,514477,514477,0,514477,0,514477.0,514477,True
best_oa_location.license,NA,0,0,0,514477,0,,0,False
best_oa_location.license,N.A.,0,0,0,514477,0,,0,False
best_oa_location.license,N/A,0,0,0,514477,0,,0,False
best_oa_location.license,NULL,0,0,0,514477,0,,0,False
best_oa_location.license,NaN,0,0,0,514477,0,,0,False
best_oa_location.license,\N,0,0,0,514477,0,,0,False
best_oa_location.license,None,0,0,0,514477,0,,0,False
best_oa_location.license,null,0,0,0,514477,0,,0,False
best_oa_location.license,nan,0,0,0,514477,0,,0,False
best_oa_location.license,Na,0,0,0,514477,0,,0,False
best_oa_location.license_id,,514477,514477,0,514477,0,514477.0,514477,True
best_oa_location.license_id,NA,0,0,0,514477,0,,0,False
best_oa_location.license_id,N.A.,0,0,0,514477,0,,0,False
best_oa_location.license_id,N/A,0,0,0,514477,0,,0,False
best_oa_location.license_id,NULL,0,0,0,514477,0,,0,False
best_oa_location.license_id,NaN,0,0,0,514477,0,,0,False
best_oa_location.license_id,\N,0,0,0,514477,0,,0,False
best_oa_location.license_id,None,0,0,0,514477,0,,0,False
best_oa_location.license_id,null,0,0,0,514477,0,,0,False
best_oa_location.license_id,nan,0,0,0,514477,0,,0,False
best_oa_location.license_id,Na,0,0,0,514477,0,,0,False
best_oa_location.pdf_url,,496656,496656,0,496656,0,496656.0,496656,True
best_oa_location.pdf_url,NA,0,0,0,496656,0,,0,False
best_oa_location.pdf_url,N.A.,0,0,0,496656,0,,0,False
best_oa_location.pdf_url,N/A,0,0,0,496656,0,,0,False
best_oa_location.pdf_url,NULL,0,0,0,496656,0,,0,False
best_oa_location.pdf_url,NaN,0,0,0,496656,0,,0,False
best_oa_location.pdf_url,\N,0,0,0,496656,0,,0,False
best_oa_location.pdf_url,None,0,0,0,496656,0,,0,False
best_oa_location.pdf_url,null,0,0,0,496656,0,,0,False
best_oa_location.pdf_url,nan,0,0,0,496656,0,,0,False
best_oa_location.pdf_url,Na,0,0,0,496656,0,,0,False
best_oa_location.source,,591064,591064,0,591064,0,591064.0,591064,True
best_oa_location.source,NA,0,0,0,591064,0,,0,False
best_oa_location.source,N.A.,0,0,0,591064,0,,0,False
best_oa_location.source,N/A,0,0,0,591064,0,,0,False
best_oa_location.source,NULL,0,0,0,591064,0,,0,False
best_oa_location.source,NaN,0,0,0,591064,0,,0,False
best_oa_location.source,\N,0,0,0,591064,0,,0,False
best_oa_location.source,None,0,0,0,591064,0,,0,False
best_oa_location.source,null,0,0,0,591064,0,,0,False
best_oa_location.source,nan,0,0,0,591064,0,,0,False
best_oa_location.source,Na,0,0,0,591064,0,,0,False
best_oa_location.source.display_name,,469723,469723,0,469723,0,469723.0,469723,True
best_oa_location.source.display_name,NA,0,0,0,469723,0,,0,False
