column,parquet_null_count,merged_empty_count,parquet_empty_as_string_count,empty_lost_to_null_min,missing_column_rows,expected_merged_empty,merged_empty_diff_vs_expected,sum_lost_suspicious_tokens,flag_null_inflation,flag_merged_empty_mismatch,flagged,top_lost_token,top_lost_token_count
locations.license_id,4183,4183,0,4183,0,4183,0,4183,False,False,True,,4183
locations.source.display_name,4183,4183,0,4183,0,4183,0,4183,False,False,True,,4183
locations.source.id,4183,4183,0,4183,0,4183,0,4183,False,False,True,,4183
locations.source.issn_l,4183,4183,0,4183,0,4183,0,4183,False,False,True,,4183
locations.version,4183,4183,0,4183,0,4183,0,4183,False,False,True,,4183
locations.source,4182,4182,0,4182,0,4182,0,4182,False,False,True,,4182
locations.source.host_organization,4182,4182,0,4182,0,4182,0,4182,False,False,True,,4182
locations.source.host_organization_name,4182,4182,0,4182,0,4182,0,4182,False,False,True,,4182
locations.source.type,4182,4182,0,4182,0,4182,0,4182,False,False,True,,4182
primary_location.landing_page_url,4168,4168,0,4168,0,4168,0,4168,False,False,True,,4168
primary_location.is_published,4162,4162,0,4162,0,4162,0,4162,False,False,True,,4162
primary_location.is_accepted,4161,4161,0,4161,0,4161,0,4161,False,False,True,,4161
primary_location.is_oa,4152,4152,0,4152,0,4152,0,4152,False,False,True,,4152
title,530,530,0,530,0,530,0,530,False,False,True,,530
display_name,529,529,0,529,0,529,0,529,False,False,True,,529
concepts.id,140,140,0,140,0,140,0,140,False,False,True,,140
concepts.display_name,139,139,0,139,0,139,0,139,False,False,True,,139
concepts.level,139,139,0,139,0,139,0,139,False,False,True,,139
concepts.score,139,139,0,139,0,139,0,139,False,False,True,,139
concepts.wikidata,139,139,0,139,0,139,0,139,False,False,True,,139
topics.display_name,79,79,0,79,0,79,0,79,False,False,True,,79
topics.domain.display_name,79,79,0,79,0,79,0,79,False,False,True,,79
topics.domain.id,79,79,0,79,0,79,0,79,False,False,True,,79
topics.field.display_name,79,79,0,79,0,79,0,79,False,False,True,,79
topics.field.id,79,79,0,79,0,79,0,79,False,False,True,,79
topics.id,79,79,0,79,0,79,0,79,False,False,True,,79
topics.score,79,79,0,79,0,79,0,79,False,False,True,,79
topics.subfield.display_name,79,79,0,79,0,79,0,79,False,False,True,,79
topics.subfield.id,79,79,0,79,0,79,0,79,False,False,True,,79
primary_topic.display_name,64,64,0,64,0,64,0,64,False,False,True,,64
primary_topic.domain.display_name,64,64,0,64,0,64,0,64,False,False,True,,64
primary_topic.domain.id,64,64,0,64,0,64,0,64,False,False,True,,64
primary_topic.field.display_name,64,64,0,64,0,64,0,64,False,False,True,,64
primary_topic.field.id,64,64,0,64,0,64,0,64,False,False,True,,64
primary_topic.id,64,64,0,64,0,64,0,64,False,False,True,,64
primary_topic.score,64,64,0,64,0,64,0,64,False,False,True,,64
primary_topic.subfield.display_name,64,64,0,64,0,64,0,64,False,False,True,,64
primary_topic.subfield.id,64,64,0,64,0,64,0,64,False,False,True,,64
cited_by_percentile_year.max,62,62,0,62,0,62,0,62,False,False,True,,62
open_access.any_repository_has_fulltext,62,62,0,62,0,62,0,62,False,False,True,,62
cited_by_percentile_year.min,61,61,0,61,0,61,0,61,False,False,True,,61
open_access.oa_status,60,60,0,60,0,60,0,60,False,False,True,,60
open_access.is_oa,59,59,0,59,0,59,0,59,False,False,True,,59
referenced_works_count,58,58,0,58,0,58,0,58,False,False,True,,58
locations_count,56,56,0,56,0,56,0,56,False,False,True,,56
created_date,54,54,0,54,0,54,0,54,False,False,True,,54
ids.openalex,54,54,0,54,0,54,0,54,False,False,True,,54
countries_distinct_count,53,53,0,53,0,53,0,53,False,False,True,,53
publication_date,53,53,0,53,0,53,0,53,False,False,True,,53
type,53,53,0,53,0,53,0,53,False,False,True,,53
type_crossref,53,53,0,53,0,53,0,53,False,False,True,,53
updated_date,53,53,0,53,0,53,0,53,False,False,True,,53
cited_by_api_url,52,52,0,52,0,52,0,52,False,False,True,,52
is_paratext,52,52,0,52,0,52,0,52,False,False,True,,52
is_retracted,50,50,0,50,0,50,0,50,False,False,True,,50
cited_by_count,49,49,0,49,0,49,0,49,False,False,True,,49
has_fulltext,49,49,0,49,0,49,0,49,False,False,True,,49
institutions_distinct_count,49,49,0,49,0,49,0,49,False,False,True,,49
publication_year,49,49,0,49,0,49,0,49,False,False,True,,49
id,0,0,0,0,0,0,0,0,False,False,False,,0
